name,vendor,url,population,wikidata_item,website,pages_visited,time
Cammin,,,0,http://www.wikidata.org/entity/Q31928092,http://www.gemeinde-cammin.de/,1,0.1930149458348751
Ebstorf,,,5342,http://www.wikidata.org/entity/Q659643,http://www.ebstorf.de,1,0.40892429649829865
Groß Plasten,,,0,http://www.wikidata.org/entity/Q20196,http://www.amt-seenlandschaft-waren.de/index1.html,1,1.4396706745028496
Veilsdorf,,,0,http://www.wikidata.org/entity/Q631479,http://www.veilsdorf.de,1,1.6656108126044273
Leitzweiler,,,0,http://www.wikidata.org/entity/Q630938,http://www.leitzweiler.de,1,1.7694345600903034
Roßlau,,,0,http://www.wikidata.org/entity/Q822148,http://www.rosslau.de/,2,2.974088352173567
Dexheim,,,0,http://www.wikidata.org/entity/Q630928,http://www.dexheim.de/,2,3.3434711024165154
Köthel,,,314,http://www.wikidata.org/entity/Q638170,http://www.koethel.de/index.php?option=com_content&task=section&id=1,2,3.4651150815188885
Wendelsheim,more!rubin,https://woellstein.more-rubin1.de/,0,http://www.wikidata.org/entity/Q555562,http://www.woellstein.de,2,3.420710153877735
Papendorf,,,0,http://www.wikidata.org/entity/Q659551,http://www.amt-warnow-west.de/aww/?page_id=488,1,6.623443864285946
Großbockedra,,,0,http://www.wikidata.org/entity/Q631506,http://www.huegelland-taeler.de,3,6.7767369747161865
Falkenhain,,,0,http://www.wikidata.org/entity/Q631101,http://www.gemeinde-falkenhain.de/,2,6.998105835169554
Winningen,,,0,http://www.wikidata.org/entity/Q822358,http://www.winningen.de,3,6.999575547873974
Glasehausen,,,0,http://www.wikidata.org/entity/Q631454,http://www.vg-leinetal.de/html/mitgliedsgemeinden/index_gemeinden.htm,1,5.263144191354513
Haßbergen,,,1571,http://www.wikidata.org/entity/Q689089,http://www.hassbergen.de/,1,7.093579601496458
Schweringen,provox,http://212.227.138.213/ratsinfo/hoya,794,http://www.wikidata.org/entity/Q505625,http://www.hoya-weser.de/index.php?id=378,2,7.268684316426516
Grammentin,,,0,http://www.wikidata.org/entity/Q50970,http://www.stavenhagen.de/,1,5.0294783636927605
Boltenhagen,,,0,http://www.wikidata.org/entity/Q631074,https://www.boltenhagen.de/,3,7.872702524065971
Gerterode,,,0,http://www.wikidata.org/entity/Q631465,http://www.gerterode.de,2,8.26169764623046
Sommerau,,,0,http://www.wikidata.org/entity/Q631137,http://ruwer.de/,2,8.703743040561676
Ortenberg,,,8885,http://www.wikidata.org/entity/Q622509,https://www.ortenberg.net/,1,1.8421593010425568
Glandorf,somacos,https://glandorfris.itebo.de/bi/infobi.asp,6645,http://www.wikidata.org/entity/Q630918,https://www.glandorf.de/,3,9.902115032076836
Miehlen,,,0,http://www.wikidata.org/entity/Q631119,http://www.miehlen.de,1,2.6832337118685246
Nahe,,,2366,http://www.wikidata.org/entity/Q564312,https://www.gemeinde-nahe.de/,3,10.60147949680686
Rieps,cc-egov,http://www.sitzungsdienst-rehna.de/bi/allris.net.asp,0,http://www.wikidata.org/entity/Q631126,http://www.rehna.de/,2,10.572142124176025
Brünn/Thür.,,,0,http://www.wikidata.org/entity/Q631272,http://www.gemeinde-bruenn.de/,1,1.957617700099945
Bruchsal,somacos,https://session.bruchsal.de/bi/,44104,http://www.wikidata.org/entity/Q7059,https://www.bruchsal.de/,3,11.446917813271284
