name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Schönborn,,,1551,12062453,http://www.wikidata.org/entity/Q551515,http://www.schoenborn-ee.de,1,0.5871210638433695
Seeshaupt,,,3217,09190152,http://www.wikidata.org/entity/Q518061,http://www.seeshaupt.de,2,0.5736100003123283
Isenburg,,,810,07138031,http://www.wikidata.org/entity/Q656336,http://www.ortsgemeinde-isenburg.de,1,0.71319386549294
Niederwiesa,,,4871,14522420,http://www.wikidata.org/entity/Q71021,http://www.niederwiesa.de,1,0.9341297838836908
Windeby,,,1017,01058173,http://www.wikidata.org/entity/Q552810,http://www.amt-schlei-ostsee.de/windeby.html,1,0.9329421501606703
Nerenstetten,,,344,08425085,http://www.wikidata.org/entity/Q636036,http://www.nerenstetten.de,1,1.0990859474986792
Besenthal,,,88,01053010,http://www.wikidata.org/entity/Q632477,http://www.buechen.de/index.phtml?sNavID=1781.31,1,1.3968918472528458
Schweickershausen,,,159,16069046,http://www.wikidata.org/entity/Q559830,http://www.heldburg.de/,2,1.9213750790804625
Hundhaupten,,,318,16076033,http://www.wikidata.org/entity/Q539147,http://www.hundhaupten.de/,1,2.3891721460968256
Wilkau-Haßlau,,,9896,14524320,http://www.wikidata.org/entity/Q20088,http://www.wilkau-hasslau.de,1,3.4778627455234528
Guthmannshausen,,,712,16068023,http://www.wikidata.org/entity/Q556434,http://www.buttstaedt.eu/vg_buttstaedt/Mitgliedsgemeinden/Guthmannshausen/,1,5.943546023219824
Reichsthal,,,106,07333202,http://www.wikidata.org/entity/Q560408,http://www.reichsthal.de,1,5.712688975036144
Kluse,,,1655,03454025,http://www.wikidata.org/entity/Q638102,http://www.doerpen.de/,2,7.376935999840498
Zschepplin,,,2872,14730360,http://www.wikidata.org/entity/Q16072,https://www.zschepplin.org/,2,7.476587085053325
Offenheim,more!rubin,https://alzey-land.more-rubin1.de/,667,07331053,http://www.wikidata.org/entity/Q652246,http://www.offenheim.de,2,7.536934610456228
Linnich,sternberg,https://sdnetrim.kdvz-frechen.de/rim4270/termine,12484,05358036,http://www.wikidata.org/entity/Q200122,http://www.linnich.de,3,8.343445967882872
Tröndel,,,396,01057082,http://www.wikidata.org/entity/Q818700,http://www.gemeinde-troendel.de,1,7.225613618269563
Tosterglope,,,569,03355037,http://www.wikidata.org/entity/Q632557,http://www.dahlenburg.de,1,7.86110489629209
Sinspelt,more!rubin,https://neuerburg.more-rubin1.de/,389,07232122,http://www.wikidata.org/entity/Q567514,http://www.suedeifelinfo.de,3,8.6074801068753
Biedesheim,more!rubin,https://goellheim.gremien.info/,612,07333006,http://www.wikidata.org/entity/Q642652,http://www.vg-goellheim.de/,2,10.202547973021865
Nentershausen,,,2741,06632013,http://www.wikidata.org/entity/Q625897,http://www.nentershausen.de,1,10.71181889809668
Hambach,,,461,07141052,http://www.wikidata.org/entity/Q566907,http://www.gemeinde-hambach.de,2,9.547092141583562
Etschberg,,,661,07336024,http://www.wikidata.org/entity/Q563507,http://www.etschberg.info/,2,10.85184781998396
Flarchheim,,,417,16064017,http://www.wikidata.org/entity/Q288161,http://www.flarchheim.de,3,10.83657979592681
Heimbach,sternberg,https://sdnetrim.kdvz-frechen.de/rim4190/,4319,05358012,http://www.wikidata.org/entity/Q200138,http://www.heimbach-eifel.de,2,11.384961800649762
Marienrachdorf,more!rubin,https://selters-ww.more-rubin1.de/,996,07143044,http://www.wikidata.org/entity/Q564480,http://www.selters-ww.de,3,11.85708031244576
Kratzeburg,,,518,13071080,http://www.wikidata.org/entity/Q20341,http://www.kratzeburg.de,1,4.4038182236254215
Langenselbold,,,13944,06435017,http://www.wikidata.org/entity/Q544737,http://www.langenselbold.de,2,12.86226418428123
Borstel-Hohenraden,cc-egov,http://www.sitzungsdienst-pinnau.de/bi2/au010.asp?PALFDNR=2&SELECT=1&options=4,2487,01056009,http://www.wikidata.org/entity/Q574233,http://www.amt-pinnau.de/index.phtml?sNavID=1785.17,4,12.170725455507636
Winkelsett,,,521,03458015,http://www.wikidata.org/entity/Q759199,http://www.winkelsett.de/,1,13.884590648114681
Rohrbach,,,1778,07337068,http://www.wikidata.org/entity/Q681095,http://www.rohrbach-pfalz.de,5,14.8674087356776
Kamenz,,,16824,14625250,http://www.wikidata.org/entity/Q81722,http://www.kamenz.de,4,16.331142922863364
Hallstadt,,,8497,09471140,http://www.wikidata.org/entity/Q302632,http://www.hallstadt.de,3,17.45981320925057
Everswinkel,,,9691,05570024,http://www.wikidata.org/entity/Q2809,https://www.everswinkel.de/,1,3.091011742129922
Kogel,,,687,13076073,http://www.wikidata.org/entity/Q674409,http://www.zarrentin.de,4,18.979921681806445
Wald-Michelbach,,,10628,06431021,http://www.wikidata.org/entity/Q2541156,http://www.wald-michelbach.de,5,18.95065450668335
Schafstedt,,,1254,01051099,http://www.wikidata.org/entity/Q552536,http://www.schafstedt.de,1,7.531283320859075
Egmating,,,2314,09175116,http://www.wikidata.org/entity/Q512144,http://www.egmating.de,2,7.190314879640937
Eyendorf,,,1257,03353010,http://www.wikidata.org/entity/Q633165,http://www.eyendorf.de/,1,4.268916627392173
Laer,sternberg,https://laer.ratsinfomanagement.net/startseite,6768,05566036,http://www.wikidata.org/entity/Q181910,http://www.laer.de,3,24.59125858359039
Langweid am Lech,,,8049,09772171,http://www.wikidata.org/entity/Q544732,https://www.langweid.de/,2,9.850861625745893
Odisheim,,,488,03352043,http://www.wikidata.org/entity/Q505545,http://www.sietland.de,1,0.8848799429833889
Niederwerth,,,1324,07137218,http://www.wikidata.org/entity/Q652134,http://www.niederwerth.de,2,9.781308501958847
Gettorf,,,7457,01058058,http://www.wikidata.org/entity/Q630251,http://www.gettorf.de,6,26.354754434898496
Hauneck,,,3222,06632007,http://www.wikidata.org/entity/Q622202,http://www.hauneck.de,2,14.791408786550164
Wahns,,,407,16066083,http://www.wikidata.org/entity/Q836727,http://www.vg-wasungen.de/index.php?option=com_content&view=article&id=61&Itemid=72,4,27.07519647665322
Heldburg,,,0,16069063,http://www.wikidata.org/entity/Q1601702,https://stadt-heldburg.de/,3,13.9777786526829
Altenkirchen (Pfalz),,,1315,07336004,http://www.wikidata.org/entity/Q437330,http://www.altenkirchen-pfalz.de/,4,19.43045936524868
Melsbach,,,1994,07138043,http://www.wikidata.org/entity/Q531792,http://www.gemeinde-melsbach.de,1,4.634585397318006
Mülheim-Kärlich,somacos,https://sessionnet.krz.de/verbandsgemeindeweissenthurm/bi/info.asp,11164,07137216,http://www.wikidata.org/entity/Q558577,http://www.muelheim-kaerlich.de,2,26.08740459382534
Sönnebüll,somacos,https://sessionnet.krz.de/amnf/bi/infobi.asp,291,01054121,http://www.wikidata.org/entity/Q523836,https://www.soennebuell.de/,4,29.1596724037081
Welling,,,925,07137112,http://www.wikidata.org/entity/Q648762,http://www.gemeinde-welling.de,3,21.91426670178771
Pähl,,,2486,09190138,http://www.wikidata.org/entity/Q529409,http://www.gemeinde-paehl.de,7,31.420986806973815
Nieheim,more!rubin,https://nieheim.more-rubin1.de/,6355,05762028,http://www.wikidata.org/entity/Q241761,http://www.nieheim.de,7,31.61062321998179
